                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.92488,                0.58778,                 1.1316,                 0.8473,                0.71739,                0.80806,                0.57511,                 1.1329,                0.70585,                 1.2009,              0.0001585,              0.0001585,              0.0001585
                     87,                0.91847,                0.58367,                 1.1307,                0.84471,                0.72016,                0.80841,                0.57572,                 1.1321,                0.70541,                 1.2005,              0.0001486,              0.0001486,              0.0001486
                     88,                0.91816,                0.58531,                 1.1301,                0.84748,                0.71696,                0.80817,                0.57566,                 1.1315,                0.70479,                    1.2,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.9173,                0.58767,                 1.1286,                0.84309,                0.72063,                0.80841,                 0.5759,                 1.1302,                0.70423,                 1.1992,              0.0001288,              0.0001288,              0.0001288
                     90,                0.91129,                0.58166,                 1.1281,                0.84558,                0.71951,                0.80833,                0.57628,                 1.1296,                0.70362,                 1.1987,              0.0001189,              0.0001189,              0.0001189
                     91,                  1.051,                0.64038,                  1.153,                0.84486,                0.72019,                 0.8086,                0.57634,                 1.1296,                 0.7033,                 1.1984,               0.000109,               0.000109,               0.000109
                     92,                 1.0494,                0.64619,                 1.1527,                0.84484,                0.71939,                0.80848,                0.57701,                 1.1293,                0.70316,                 1.1983,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.0439,                0.63296,                 1.1556,                0.84654,                0.71962,                0.80868,                0.57677,                  1.129,                0.70312,                 1.1983,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                  1.041,                0.63152,                 1.1493,                0.84854,                0.71952,                0.80844,                0.57694,                 1.1288,                0.70271,                 1.1983,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.0442,                0.63608,                 1.1508,                 0.8486,                0.71934,                0.80834,                0.57693,                 1.1286,                0.70252,                 1.1984,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.0415,                0.63307,                 1.1537,                0.84967,                0.71963,                0.80834,                0.57658,                 1.1287,                0.70268,                 1.1985,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                  1.037,                0.62401,                 1.1449,                0.85076,                0.71928,                0.80832,                0.57657,                 1.1285,                0.70247,                 1.1985,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.0326,                0.62603,                 1.1451,                0.85072,                0.71981,                0.80804,                0.57627,                 1.1287,                0.70245,                 1.1988,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.0351,                0.62181,                 1.1443,                0.84568,                0.72232,                  0.808,                0.57684,                 1.1288,                0.70216,                  1.199,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.0308,                0.62162,                 1.1404,                0.84474,                0.72317,                 0.8079,                0.57678,                 1.1289,                0.70201,                  1.199,               1.99e-05,               1.99e-05,               1.99e-05
