                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.90805,                0.51119,                  1.059,                0.85608,                0.68255,                0.76135,                0.53925,                 1.1101,                 0.5896,                 1.2037,              0.0003763,              0.0003763,              0.0003763
                     65,                0.89892,                0.50654,                 1.0526,                0.85789,                0.68392,                0.76365,                0.53927,                 1.1104,                0.58546,                 1.2137,              0.0003664,              0.0003664,              0.0003664
                     66,                0.90998,                0.51011,                 1.0598,                0.85436,                0.68449,                0.76402,                0.54021,                 1.1084,                0.58593,                 1.2038,              0.0003565,              0.0003565,              0.0003565
                     67,                0.89701,                0.50308,                 1.0535,                0.86091,                 0.6806,                0.76275,                0.54031,                 1.1055,                0.58495,                 1.1963,              0.0003466,              0.0003466,              0.0003466
                     68,                0.89927,                0.50363,                 1.0565,                0.85835,                0.68145,                0.76422,                0.53979,                 1.1099,                0.58878,                 1.2162,              0.0003367,              0.0003367,              0.0003367
                     69,                0.89977,                0.50709,                 1.0566,                0.86821,                0.67962,                0.76472,                0.54045,                 1.1151,                0.58685,                 1.2038,              0.0003268,              0.0003268,              0.0003268
                     70,                0.89745,                0.49714,                 1.0542,                0.86091,                0.68441,                0.76501,                0.54142,                 1.1094,                0.58556,                  1.216,              0.0003169,              0.0003169,              0.0003169
                     71,                0.89936,                0.49924,                 1.0563,                0.86932,                0.68169,                0.76651,                0.54325,                 1.1068,                0.57879,                 1.2071,               0.000307,               0.000307,               0.000307
                     72,                0.88545,                0.49675,                 1.0485,                0.87005,                 0.6789,                0.76729,                0.54577,                 1.1018,                0.58108,                 1.2069,              0.0002971,              0.0002971,              0.0002971
                     73,                0.89185,                0.50103,                 1.0504,                 0.8669,                0.68077,                0.76596,                0.54346,                 1.1034,                0.58474,                 1.2049,              0.0002872,              0.0002872,              0.0002872
                     74,                0.89611,                0.49786,                 1.0447,                0.85055,                0.68435,                0.76505,                0.54133,                 1.1113,                0.57937,                 1.2121,              0.0002773,              0.0002773,              0.0002773
                     75,                0.86648,                0.48382,                 1.0455,                0.86163,                0.68311,                0.76759,                0.54499,                 1.1006,                0.58045,                 1.2044,              0.0002674,              0.0002674,              0.0002674
                     76,                0.87912,                0.48406,                 1.0458,                0.86154,                0.68813,                0.76962,                0.54731,                 1.1004,                0.57385,                 1.2087,              0.0002575,              0.0002575,              0.0002575
                     77,                0.87623,                 0.4817,                 1.0442,                0.86086,                0.68489,                0.76826,                0.54468,                 1.1052,                0.57496,                 1.2067,              0.0002476,              0.0002476,              0.0002476
                     78,                0.87089,                0.47935,                 1.0387,                0.86121,                0.68604,                0.76901,                0.54672,                 1.1032,                0.57726,                 1.2098,              0.0002377,              0.0002377,              0.0002377
                     79,                 0.8802,                0.48098,                 1.0415,                0.86513,                0.68428,                 0.7674,                0.54362,                 1.1013,                0.57576,                 1.2078,              0.0002278,              0.0002278,              0.0002278
                     80,                0.85553,                0.47652,                 1.0405,                0.86384,                0.69211,                0.77156,                0.54785,                 1.0989,                0.57442,                 1.2076,              0.0002179,              0.0002179,              0.0002179
                     81,                0.87714,                0.48813,                 1.0447,                0.86739,                0.68872,                0.77127,                0.54667,                  1.104,                0.57238,                  1.206,               0.000208,               0.000208,               0.000208
                     82,                0.87354,                0.48177,                 1.0353,                0.87387,                0.68357,                0.77167,                0.54808,                 1.0983,                0.57315,                 1.2041,              0.0001981,              0.0001981,              0.0001981
                     83,                0.86687,                0.47518,                 1.0342,                0.86057,                0.69148,                0.77245,                 0.5491,                 1.0994,                0.57355,                 1.2095,              0.0001882,              0.0001882,              0.0001882
                     84,                0.86044,                 0.4724,                 1.0364,                0.86134,                0.69053,                0.77264,                0.54922,                 1.0978,                0.57001,                 1.1989,              0.0001783,              0.0001783,              0.0001783
                     85,                0.84705,                0.46143,                 1.0224,                0.87025,                0.68746,                0.77205,                0.54972,                 1.0979,                0.56829,                 1.1954,              0.0001684,              0.0001684,              0.0001684
                     86,                0.84549,                0.46765,                 1.0256,                 0.8669,                0.68917,                0.77082,                0.54776,                 1.0992,                0.56801,                 1.2027,              0.0001585,              0.0001585,              0.0001585
                     87,                0.84545,                0.46443,                 1.0329,                 0.8644,                0.69217,                0.77239,                0.55123,                 1.0951,                0.56868,                 1.2059,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.8561,                0.46461,                 1.0242,                0.86669,                0.69248,                0.77386,                0.55258,                 1.0957,                0.56685,                 1.2118,              0.0001387,              0.0001387,              0.0001387
                     89,                0.85913,                0.46243,                 1.0257,                0.85986,                 0.6976,                0.77293,                0.55136,                 1.0963,                0.56527,                 1.2106,              0.0001288,              0.0001288,              0.0001288
